"geneName","LFC","FDR"
"FUT9","0.7932","0.007377"
"GPC6","-1.289","0.007402"
"DPP6","0.6906","0.007437"
"GGACT","0.8285","0.007543"
"ATP5D","0.9069","0.007579"
"SORL1","0.9212","0.007675"
"NHS","-1.247","0.007833"
"USP45","0.8944","0.007938"
"C12orf29","0.8888","0.007946"
"ATRX","0.7594","0.008013"
"PACS2","-1.236","0.008026"
"KIAA0930","-1.193","0.008026"
"ARF5","0.9516","0.008026"
"SYNE2","0.7564","0.008040"
"CEND1","0.9486","0.008048"
"B4GALNT4","-1.181","0.008083"
"GPATCH8","0.7982","0.008083"
"RING1","-1.056","0.008108"
"MEF2C-AS1","-1.142","0.008193"
"PCBP3","0.8880","0.008220"
"GAP43","0.8500","0.008236"
"TTC14","-1.184","0.008287"
"BRAF","0.8443","0.008304"
"RCAN3","0.6867","0.008339"
"NXPH1","-2.057","0.008366"
"AC159540.1","-1.504","0.008395"
"CACYBP","0.9126","0.008404"
"PRKCA","-1.133","0.008452"
"NTRK2","-0.8446","0.008452"
"COL6A1","0.7365","0.008452"
"FIGN","-1.137","0.008756"
"TCEAL6","0.7272","0.008756"
"CNTN4","0.6839","0.008756"
"SLC22A23","-1.040","0.008779"
"PLEKHA5","-0.9596","0.008795"
"BRINP2","-1.132","0.008805"
"RPS4X","0.9196","0.008888"
"RAB37","0.8991","0.009227"
"CDC25B","0.9247","0.009257"
"SERPINI1","-1.172","0.009332"
"CDC14B","-1.054","0.009461"
"HNRNPC","0.9248","0.009512"
"NCALD","-1.187","0.009528"
"CACNA1D","-1.243","0.009541"
"ZFAND6","0.7571","0.009622"
"RASGRF2","-1.250","0.009757"
"NDRG3","0.9204","0.009888"
"KIF5C","0.8161","0.009920"
"ATP1B1","-0.9194","0.009939"
"SFXN1","0.9073","0.009939"
